%DECLARANT	QUANTITY_TON	VALUE_1000EURO	DATE
001	89.1	1180.49	01/01/2002
001	28.5	404.1	01/02/2002
001	44.1	613.98	01/03/2002
001	32.9	423.94	01/04/2002
001	60	817.95	01/05/2002
001	9.7	130.83	01/06/2002
001	23.1	342.64	01/07/2002
001	34.6	507.73	01/08/2002
001	3.6	53.08	01/09/2002
001	3.4	52.49	01/10/2002
001	2.7	37.27	01/11/2002
001	336.5	4726.2	01/12/2002
003	18.6	260.19	01/01/2002
003	16.1	228.64	01/02/2002
003	10	155.8	01/03/2002
003	10.3	138.46	01/04/2002
003	10.7	138.29	01/05/2002
003	12.3	167.37	01/06/2002
003	12.4	175.96	01/07/2002
003	11.9	161.21	01/08/2002
003	9.8	147.24	01/09/2002
003	12.9	187.39	01/10/2002
003	9	115.31	01/11/2002
003	39.2	517.92	01/12/2002
004	39.6	565.54	01/01/2002
004	27.5	409.27	01/02/2002
004	39.2	594.27	01/03/2002
004	44.4	589.06	01/04/2002
004	26	366.32	01/05/2002
004	46.5	662.89	01/06/2002
004	38.5	561.68	01/07/2002
004	53.8	797.48	01/08/2002
004	31.5	478.87	01/09/2002
004	19.4	279.74	01/10/2002
004	31.9	392.78	01/11/2002
004	92.3	1238.12	01/12/2002
005	56.7	776.11	01/01/2002
005	63	859.82	01/02/2002
005	61.5	863.81	01/03/2002
005	54.7	701.14	01/04/2002
005	70.9	912.23	01/05/2002
005	44.2	541.81	01/06/2002
005	43.1	564.99	01/07/2002
005	25.4	305.76	01/08/2002
005	16.2	184.75	01/09/2002
005	3.4	37.8	01/10/2002
005	6.1	70.61	01/11/2002
005	103.3	1313.09	01/12/2002
006	49.6	680.97	01/01/2002
006	64	852.22	01/02/2002
006	51.5	689.68	01/03/2002
006	52.7	649.26	01/04/2002
006	58.1	690.74	01/05/2002
006	55.7	668.4	01/06/2002
006	55.1	703.7	01/07/2002
006	41.6	547.37	01/08/2002
006	37.3	533.68	01/09/2002
006	45.4	565.46	01/10/2002
006	67.5	836.68	01/11/2002
006	157.3	1997.02	01/12/2002
007	1.3	9.46	01/01/2002
007	1.6	14.13	01/02/2002
007	1.4	10.05	01/03/2002
007	1.7	9.44	01/04/2002
007	0.9	5.77	01/05/2002
007	0.8	7.21	01/06/2002
007	0.3	3.75	01/07/2002
007	0.5	3.4	01/08/2002
007	0.4	3.71	01/09/2002
007	1	6.05	01/10/2002
007	1.3	8.03	01/11/2002
007	2.7	22.31	01/12/2002
008	2.7	44.23	01/01/2002
008	2	34.29	01/02/2002
008	2.4	41.14	01/03/2002
008	3.8	61.78	01/04/2002
008	2.8	43.57	01/05/2002
008	3.5	54.07	01/06/2002
008	1.9	28.63	01/07/2002
008	4.2	68.61	01/08/2002
008	3.1	57.52	01/09/2002
008	2.5	44.86	01/10/2002
008	3.2	50.49	01/11/2002
008	17	256.93	01/12/2002
009	1.7	27.37	01/01/2002
009	1.7	27.73	01/02/2002
009	1.7	29.2	01/03/2002
009	1.5	28.25	01/04/2002
009	2.7	41.98	01/05/2002
009	3.7	61.3	01/06/2002
009	4.3	70.99	01/07/2002
009	4.2	74.4	01/08/2002
009	2.4	43.63	01/09/2002
009	1.6	28.04	01/10/2002
009	0.7	12.56	01/11/2002
009	2.2	29.19	01/12/2002
010	1.8	28.57	01/01/2002
010	1.2	20.22	01/02/2002
010	0.5	8.15	01/04/2002
010	0.5	7.53	01/05/2002
010	1	16.16	01/07/2002
010	0.5	8.13	01/08/2002
010	0.8	15.07	01/09/2002
010	0.5	8.69	01/10/2002
010	0.5	6.88	01/12/2002
011	51.7	576.38	01/01/2002
011	55	546.17	01/02/2002
011	63.6	616.72	01/03/2002
011	70.3	672.49	01/04/2002
011	99.6	999.92	01/05/2002
011	76.6	744.65	01/06/2002
011	108.1	1003.26	01/07/2002
011	96.2	949.21	01/08/2002
011	74.3	656.03	01/09/2002
011	57.2	497.84	01/10/2002
011	46.9	410.2	01/11/2002
011	114.8	1092.73	01/12/2002
017	75.4	1058.51	01/01/2002
017	93.8	1335.69	01/02/2002
017	102	1491.69	01/03/2002
017	96.8	1297.24	01/04/2002
017	161.8	2043.67	01/05/2002
017	134.3	1777.86	01/06/2002
017	99.9	1373.68	01/07/2002
017	102.2	1386.27	01/08/2002
017	70.4	1037.73	01/09/2002
017	71	1029.73	01/10/2002
017	71.2	920.76	01/11/2002
017	346.3	4686.96	01/12/2002
030	6.4	102.81	01/01/2002
030	8.9	134.46	01/02/2002
030	8	124.79	01/03/2002
030	7.3	102.03	01/04/2002
030	8.7	124.46	01/05/2002
030	6.5	102.28	01/06/2002
030	6.7	109.16	01/07/2002
030	6.6	103.16	01/08/2002
030	10.1	165.84	01/09/2002
030	8.1	134.11	01/10/2002
030	12.4	127.46	01/11/2002
030	48.2	709.44	01/12/2002
032	0.5	8.75	01/01/2002
032	0.5	10.07	01/02/2002
032	0.5	9.2	01/03/2002
032	0.6	10.85	01/04/2002
032	0.5	8.53	01/05/2002
032	0.5	8.87	01/06/2002
032	0.5	9.24	01/07/2002
032	0.5	8.65	01/08/2002
032	0.4	7.37	01/09/2002
032	0.7	12.99	01/10/2002
032	0.5	8.85	01/11/2002
032	0.9	15.54	01/12/2002
038	1	16.16	01/01/2002
038	0.9	14.19	01/02/2002
038	0.9	13.47	01/03/2002
038	0.5	7.53	01/04/2002
038	0.5	7.47	01/05/2002
038	0.4	5.99	01/06/2002
038	0.5	7.47	01/07/2002
038	0.4	5.83	01/08/2002
038	0.5	8.43	01/09/2002
038	0.5	9.62	01/10/2002
038	0.6	10.45	01/11/2002
038	1	16.1	01/12/2002
