Row,AT,BE,BG,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HU,IE,IT,LT,LV,MT,NL,PL,PT,RO,SE,SI,XI
01,1,4,0,0,87,4,0,1,0,2,22,5,9,4,1,3,2,0,9,0,1,0,0,1,5
02,0,4,0,0,61,2,0,4,0,23,11,0,0,7,8,0,0,0,34,14,0,0,1,0,0
03,0,0,0,0,17,8,0,19,0,2,93,0,0,12,0,0,6,21,10,2,0,0,2,0,1
04,0,12,0,0,287,6,0,18,0,8,9,2,0,45,3,0,1,0,38,24,11,0,0,0,0
05,0,3,0,0,4,0,0,5,0,0,7,1,0,2,4,1,0,0,2,3,0,0,0,0,0
06,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,43,0,0,0,0,0,0
07,0,17,0,0,1,4,2,1,0,4,31,2,2,0,1,1,3,0,28,0,2,1,0,1,1
08,0,4,1,0,0,0,0,5,0,3,0,21,0,0,13,0,0,0,5,3,15,0,0,1,2
09,0,0,0,0,117,0,0,8,0,1,0,0,0,3,7,0,0,0,10,5,1,0,0,1,0
10,0,2,2,0,1,0,6,2,0,10,1,2,0,0,7,0,1,0,0,1,3,3,0,2,0
11,1,10,0,0,4,2,0,3,0,4,3,0,0,1,5,0,0,0,6,5,0,1,0,0,0
15,1,7,0,0,21,2,0,1,0,11,8,1,0,0,2,0,0,0,4,1,1,4,0,0,0
16,0,3,0,0,45,0,0,2,0,2,1,0,0,11,0,0,0,0,1,2,0,0,1,0,1
17,0,8,3,0,102,0,0,1,0,6,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
18,0,1,0,0,140,0,0,2,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
19,0,14,0,0,273,0,0,6,0,1,0,0,0,1,0,1,0,0,9,4,0,0,0,0,5
20,107,10,0,0,48,2,0,9,0,5,0,6,1,2,5,0,0,0,9,4,1,0,0,0,1
21,0,1,0,0,188,0,0,1,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,4
22,9,3,0,1,317,0,0,21,2,17,0,0,2,255,57,0,20,0,43,4,5,0,8,1,38
23,4,6,1,0,78,0,0,8,0,19,0,0,1,2,4,1,6,0,17,1,1,2,0,0,0
24,0,5,33,0,84,0,0,0,0,7,9,1,1,0,0,0,1,1,1641,2,0,5,4,0,5
27,0,16,0,0,111,0,0,5,0,1,2,1,4,4,3,0,0,0,7,0,1,0,0,2,1
28,12,14,0,0,101,2,0,9,3,11,2,2,0,12,19,0,4,1,15,1,4,1,11,1,2
29,7,16,1,8,85,6,0,4,0,10,5,0,0,26,6,0,1,0,75,4,2,0,5,0,1
30,1,22,0,0,484,0,0,4,0,14,11,6,1,60,17,0,0,0,20,0,2,0,5,0,0
32,0,7,0,1,219,0,0,1,1,3,0,0,0,2,0,0,0,1,8,3,1,1,1,0,2
33,0,1,0,0,468,0,0,1,0,5,2,1,1,12,3,0,0,0,9,1,0,0,1,0,0
34,0,8,0,0,226,0,0,6,0,3,3,1,0,6,0,0,0,0,1,0,0,0,0,0,0
35,0,0,0,2,61,0,0,0,0,2,1,0,0,8,2,1,0,0,4,0,0,0,0,0,0
37,0,2,0,0,41,0,0,3,0,6,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0
38,11,26,1,2,219,1,0,32,5,43,1,1,1,7,13,0,0,0,17,0,1,0,9,0,0
39,0,38,0,11,1213,1,0,12,2,6,3,0,5,40,19,2,0,0,43,3,3,0,5,0,11
40,0,8,0,1,302,0,0,6,0,3,1,1,0,5,5,0,0,3,16,2,1,0,3,0,5
41,0,0,0,0,7,1,0,2,0,0,0,0,0,0,18,0,0,0,2,0,1,0,0,0,0
42,0,0,0,0,122,0,0,0,0,7,0,0,0,1,13,0,0,0,6,0,1,0,0,0,0
44,11,64,6,2,557,16,22,28,6,45,3,13,12,50,71,5,36,1,81,60,25,21,2,9,25
47,0,0,0,0,54,0,1,1,2,0,0,1,0,3,0,0,0,0,2,0,0,0,2,0,0
48,1,12,3,3,582,1,0,37,4,7,2,7,1,18,18,0,0,0,13,5,19,1,4,3,2
49,1,6,0,0,51,0,0,1,1,9,1,4,2,11,3,0,0,1,7,4,0,0,0,0,0
51,0,3,0,0,26,14,0,2,0,0,2,0,0,0,5,0,0,0,1,0,1,0,0,0,0
52,3,11,0,3,60,1,3,3,1,18,13,0,1,1,33,0,0,0,8,1,10,0,0,0,1
54,0,5,0,1,91,0,1,3,0,1,9,4,0,2,9,0,0,0,16,0,7,0,0,0,0
55,1,15,3,2,62,3,1,4,0,8,3,2,0,1,8,0,0,0,8,0,4,0,0,0,0
56,0,4,0,0,93,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0
57,1,9,0,0,30,2,0,0,0,0,1,3,0,80,0,0,0,0,13,0,2,0,0,0,4
58,0,8,0,0,39,1,0,1,0,4,7,0,0,2,4,2,0,0,6,0,2,0,0,0,0
59,0,0,0,0,102,0,0,1,0,2,1,1,0,1,1,0,1,1,8,0,0,0,0,0,5
61,2,1,0,0,66,1,0,6,0,59,5,1,2,3,18,0,0,0,24,4,3,0,0,0,2
62,1,3,4,0,75,0,2,3,1,50,1,2,0,6,22,0,0,0,50,0,3,0,0,0,2
63,1,2,0,0,40,1,0,0,1,0,0,1,0,2,10,1,0,0,4,0,0,0,0,0,58
64,1,1,0,0,79,3,0,6,0,16,8,0,1,2,51,0,1,0,11,0,7,0,0,0,0
65,0,1,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,1
68,0,7,0,0,150,4,0,19,0,6,1,3,1,3,14,0,1,0,16,3,10,0,0,0,3
69,0,15,0,0,205,2,0,28,0,1,0,0,0,0,8,0,0,0,8,0,2,0,0,0,1
70,12,11,9,0,262,31,0,3,2,7,3,14,0,27,18,0,1,1,16,3,28,0,0,4,15
71,7,8,0,0,96,45,0,2,0,4,33,3,1,6,9,0,0,0,27,0,4,0,0,0,4
72,0,6,1,4,58,0,0,18,1,6,15,1,0,3,8,2,0,1,21,0,1,6,2,0,1
73,3,19,1,3,643,1,0,13,1,5,2,4,0,8,12,1,0,0,21,2,4,3,0,0,18
74,1,0,0,0,78,0,0,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
76,0,0,2,1,215,0,0,1,0,3,0,0,14,5,0,0,0,0,9,1,1,0,0,0,31
81,1,3,0,0,22,0,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1
82,1,2,0,1,232,2,0,0,0,3,0,0,0,11,1,0,0,0,4,0,0,0,1,0,1
83,0,0,0,2,142,0,0,2,0,2,0,0,0,7,1,0,0,0,7,0,0,0,0,0,2
84,21,69,11,13,2366,70,0,101,28,80,43,16,49,92,231,6,15,0,247,29,17,7,21,2,86
85,7,40,6,15,2546,31,0,54,9,63,25,23,19,45,66,1,6,0,223,18,6,0,2,2,39
87,16,57,1,53,835,8,2,18,10,83,52,3,22,49,126,7,3,0,113,42,6,15,9,21,29
88,0,1,0,0,17,0,0,0,0,7,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0
89,1,1,0,0,10,2,0,12,2,7,4,0,4,2,6,4,0,0,5,4,0,4,0,0,0
90,6,20,2,1,1616,1,1,2,5,14,8,0,10,48,34,1,0,0,150,5,0,1,3,1,7
91,1,3,0,0,49,0,0,0,0,11,5,0,1,2,0,0,0,0,9,0,0,0,0,0,7
92,0,1,0,1,28,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
93,5,9,0,0,11,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,8
94,4,12,0,2,313,6,0,5,0,10,1,1,9,6,34,3,0,0,25,5,7,0,2,0,1
95,0,6,0,0,53,0,0,4,0,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0
96,0,4,0,0,240,0,0,6,0,9,0,3,0,10,5,0,0,0,4,2,0,0,2,0,15
97,0,2,0,0,55,2,0,4,1,7,7,1,1,1,2,0,0,0,1,0,0,0,3,0,0
