w	v
18592	181138.240000000
13066.9000000000	219196.450000000
9443.30000000000	153188.550000000
65390.9000000000	306152.810000000
11271	159393.910000000
223025.400000000	625356
267192	473054
2646	379682.970000000
17731.1200000000	92768
31878.1000000000	83167
34367.5500000000	86199.4600000000
40424.1000000000	192296
156803.400000000	413569
13860.0500000000	55904.1200000000
15340	196032
23121	58171.4400000000
30561.3000000000	227617.830000000
57568.6000000000	193179.240000000
20910	295148.830000000
13915.4000000000	184045.630000000
21509.6000000000	361555.750000000
8436.20000000000	12384.6800000000
5275.94000000000	254383.770000000
38401	104096.220000000
43366	898972
29455	392977
30259.2000000000	177869.530000000
75366.4000000000	165748.230000000
11902	251709.620000000
18904.7000000000	84040.5500000000
8940	133631
7518	151227.990000000
49909	68630
176730.670000000	376154
38760	151388.490000000
2221	369181.560000000
19027	112876
47764	88883.5800000000
12330	122758.470000000
87484.3800000000	891437
105560	253494
25268	16977.7800000000
2820	37704.4200000000
21420	51761
25623	90810.8300000000
5534	126540
49597.2800000000	384593
89100	113292
4877	157366.310000000
18780	201257.170000000
63558.1600000000	389828
16475	108046.980000000
266848	566694
150000	605554
17806	104712.230000000
44172	91898.8000000000
32032.3000000000	121967.380000000
28808	20124
40651	112094
49215.8000000000	78168
32610.2400000000	375513
52390.2000000000	352785
44254	103578.230000000
51830	155543.830000000
27889	55178.1800000000
12938	470610.120000000
33658	94362.7700000000
44388.9000000000	262013.240000000
76576.7000000000	107254
55576.5000000000	105354.510000000
7996.45000000000	45671.7500000000
35729.0900000000	270469
102049	260920.770000000
19368	23194.6900000000
31452	76771.4800000000
42372.9000000000	560283.420000000
62680.9000000000	96021
24755	39067
6050	259011.640000000
21465.2000000000	193068
68796	128053.570000000
43488.1300000000	169865.920000000
46532	84044.6200000000
6994.60000000000	81920.4600000000
14059.5000000000	72484.3800000000
168448	336401
30543.6600000000	218996
58324.4000000000	139704
24815	203699.050000000
15612	156299.560000000
15116	108010.510000000
219105.600000000	445334
17596.8000000000	37976.5200000000
34167	94761.8400000000
22189.2000000000	133979.720000000
61520	60858.7500000000
24635	276975.490000000
25000	27402.4300000000
12627	19276
24732	201973.680000000
10763.4000000000	112699
28457	156840.820000000
1424	227248.770000000
43834.8000000000	190639.290000000
37415.4400000000	276908.260000000
1587.60000000000	234629.690000000
5745	240020.810000000
21845	145842.120000000
20331	186583.880000000
19975	213292.260000000
6466.20000000000	220668
18045	121095.030000000
15845.7600000000	184423.150000000
31380.2000000000	78514.3900000000
4320	51021.5900000000
198114	253280
98910	265641.260000000
22877	212345.640000000
22216	157309.630000000
16360	227507
5547.05000000000	107020
2435	132249.580000000
45709.9500000000	203041.930000000
18895	211697.310000000
39407	93211.2600000000
6981	144286.350000000
14603.5000000000	72003.1100000000
6954.50000000000	35890.4300000000
41732	123458
4172	85298.1600000000
42749.9600000000	280817
48943	323631
6796	184143.630000000
19801	180760.200000000
14144.5000000000	8466.64000000000
60901.7340000000	123288.270000000
25807.5000000000	160582.920000000
17557	29431.1400000000
20161.9000000000	409916.890000000
31760	62883.3800000000
98183.7000000000	211909
14118	40940
13350	139081.360000000
6644.90000000000	137189.220000000
11892	113603.440000000
17291.9900000000	73822
26506	34118
57996	213141.760000000
20027.5000000000	169525.350000000
10817.5500000000	241624.180000000
8160	159287.480000000
12742	29417.3400000000
6279	155568.300000000
34206.3000000000	130983.120000000
148263.500000000	390187
133772	339061.400000000
22659	171180.210000000
60767	182299.830000000
28293	40433
39270	75807.2800000000
54950	111216.980000000
12804	18378.3000000000
67221.1000000000	430811
10799.7000000000	140894.630000000
71862.4000000000	205710
43660.0800000000	142655
19925	1569.15000000000
32452.2500000000	244397.380000000
74529	106505
17684	106426.710000000
32914	64008.9200000000
125100.100000000	250328.860000000
444	80046.1100000000
2786.75000000000	245551.230000000
29538	110233
25305	88184.5600000000
15270	101817.720000000
69279.3000000000	115532
326527.800000000	452045
5713	38372.7600000000
56180	65163.4500000000
359646	958371
162747.200000000	330778
74635.4000000000	177186
135200	240818.890000000
25399.5000000000	114300.800000000
13783.3100000000	24944
33536	127094.110000000
14837	242136
191300	335005
25432	191607.950000000
24741	86709.5800000000
8479	171446.170000000
3402	39849
10168	174667.520000000
15874.6000000000	14727.4600000000
128280	320855
25703	77064.3400000000
16424.1000000000	193700
58831.2000000000	88606.6600000000
7822	140770.240000000
50360	77389
10620	121540.970000000
44510.8000000000	116236
17103	208747.280000000
15612	156299.560000000
2379	100442
3954.90000000000	23708.2100000000
14912	44837
11275	36652.6900000000
47848	138896.660000000
27423	249881
7583	174479.170000000
5504	159090.410000000
37832.4000000000	182741.770000000
16455.7100000000	154102.080000000
19590.5200000000	175375.350000000
52523.5200000000	274688.940000000
6835	83260.4900000000
19624	131836.760000000
17275	98411
30146.4000000000	143766.630000000
52944.2000000000	129947.390000000
23874	265524.830000000
109503	260180.590000000
30102.1000000000	81424
3696.64000000000	41421.8500000000
61052.7500000000	239026.110000000
6795.30000000000	73107.7700000000
6698	274919.310000000
73294.9000000000	110011.110000000
25884.4500000000	226940
34188.6000000000	87843.6600000000
43679	59210.1800000000
70266.3000000000	196818.550000000
45369	70485
11614	97265.3100000000
213892	615410
35663	113212.500000000
33312.5000000000	539869
14030	180757.630000000
54289.4400000000	255029
10790	259106.470000000
74849	243072.500000000
7399	150650.120000000
22401	59570.5000000000
10693	199184.590000000
68257.0180000000	142845.020000000
32877.9000000000	105997.610000000
67478.4000000000	204503
9450	12340.1500000000
71806	400402
45295	80746.0300000000
23934	69752.9900000000
16553	296925
47300.4900000000	357042
56700	271132
50529	63438
30000	664.910000000000
46816	111153
59864.2200000000	96504
2501	111242.810000000
4578	53635.0500000000
19190.5000000000	164513.060000000
56511	132986.550000000
2170	121491.820000000
16377.5000000000	219506.960000000
15816	161529
12145	39927.9900000000
42500	47143
22076	103197.680000000
13747.2000000000	25273.2700000000
47460	350909
1890	357281.530000000
9580	72336.3000000000
134353	404480
76890	141945.240000000
88345.2000000000	233969.470000000
55855	129513.220000000
15924	17214.0800000000
30346.1000000000	69820
2659	165039.050000000
72000	143443
15210	141686.810000000
66274.7600000000	222822
175533.600000000	410187
46062	151653
21163.4100000000	180914.960000000
27456	62032.2300000000
67855	268245
16981	28207.9300000000
105496	214961.610000000
27120	56662.4200000000
86319	470030
64676	291648
24975	178834.040000000
41395	104249
64970	166522.100000000
1540	77961.1100000000
17994.7800000000	347197
58750	99662.7200000000
57784	23524.2100000000
32693	77781
60666.3000000000	98460
6210	33895.0400000000
46223.5000000000	123069.500000000
12542	173157.330000000
11711	71842.4900000000
53456	88920
45498	210479.050000000
59463	110347.730000000
36363.4000000000	78220.8000000000
16294.6000000000	124484.120000000
18599.0500000000	169605.680000000
9357	50450
27115	168050
42465	72550.3400000000
77300.3000000000	210012.500000000
8483	279590.720000000
24190	107434.780000000
48107.9000000000	155452
24000	94224.1300000000
20174	27118.4500000000
12405.3000000000	7656.58000000000
10940.8000000000	16851.2800000000
10640	55360
23833	265419.890000000
25938	110293
13800	49507.5600000000
103999	275796.560000000
137822	297742
1876	160916.420000000
