Dimeter,Height,id
184,10,5
187.5,10.25,5
150.5,9.5,5
121,9.5,5
154,10.75,5
203,11.25,5
205,11.5,5
177.5,11.5,5
225.5,12,5
202.5,10.75,5
211.5,11.5,5
212,11,5
154,10.75,5
219.5,11,5
119,7.75,5
194,10.5,5
144.5,9.25,5
159,10.25,5
194.5,10.75,5
100.5,8,5
114,8.75,5
120,9.25,5
152,11,5
144,10.5,5
143,10.75,5
192.5,10.75,5
111.5,9.25,5
190.5,11.25,5
170.5,10.25,5
170.5,11,5
152,11.5,5
88.5,7.5,5
199.5,10.5,5
118,8.5,5
119,7.75,5
144,9.75,5
104.5,8.25,5
133,7.75,5
210,10.75,5
197,9.25,5
192.5,9.75,5
137.5,9.75,5
226.5,10.25,5
142,10.5,5
197,10.5,5
200,10.75,5
108,9,5
183.5,10.75,5
121,9.5,5
157.5,9.75,5
199.5,11,5
184.5,10.75,5
198,10.25,5
101.5,7.5,5
157,10.5,5
160.5,10,5
163.5,9.75,5
161.5,9.25,5
188,10.25,5
100,8.75,5
172,10,5
93,8.25,5
141,9.5,5
229,10.75,5
142.5,9.5,5
132,10.25,5
146.5,9.25,5
206.5,10.25,5
154.5,10.75,5
174.5,11.25,5
192,9,5
132.5,8.5,5
148,9.75,5
133,9,5
138.5,9.5,5
198.5,9.75,5
157,9.75,5
147.5,8.97,5
168.5,9.25,5
129,9.75,5
173.5,10,5
178,10.25,5
171.5,9.25,5
141,9,5
139.5,9.25,5
188.5,9.25,5
141,9.75,5
162,10.25,5
185,10.25,5
231,10.5,5
150.5,9.5,5
173.5,10.75,5
199.5,10.5,5
175,9.25,5
72,7.75,5
141,9,5
186,9.75,5
185,9.5,5
153,9,5
170,9.75,5
165,9.75,5
154,10,5
167,11,5
199,10.25,5
183,9.75,5
174,9.75,5
174,10.75,5
149,10.75,5
142,10.25,5
140,11.5,5
140,10.25,5
193,9.75,5
193,9.5,5
149,8,5
151,9.25,5
201,7.75,5
196,8.25,5
216,9.25,5
208,11.5,5
239,11,5
176,11,5
180,9.75,5
150,10.5,5
144,9.25,5
209.5,9.25,5
113,9.25,5
124.5,9.5,5
141,9.25,5
224,10,5
207,9,5
198,9.5,5
144.5,9.75,5
179.5,9.75,5
149.5,10,5
155.5,10.75,5
139,9.75,5
163.5,10.5,5
158.5,9.75,5
176.5,7.75,5
132.5,7.75,5
165,10.75,5
169.5,11,5
137,11.25,5
195,10,5
171,9.75,5
177,9.5,5
206,11.5,5
177.5,12,5
85.5,11,5
80,10,5
165.5,9.75,5
209.5,9.75,5
180.5,9.25,5
211,9.75,5
164.5,11,5
181,9,5
213.5,9.25,5
209,9.5,5
190.5,9,5
171.5,9.75,5
97,10,5
129.5,9.25,5
139,10.75,5
134.5,10,5
210.5,9.75,5
246,7.6,5
218.5,6.3,5
266.5,8.1,5
233,7.1,5
206,7.4,5
230.5,7.2,5
180.5,6.6,5
172.5,7.1,5
201.5,7,5
151.5,6.8,5
210,6.8,5
162,6.9,5
213.5,7.5,5
149.5,6,5
163,6.2,5
119.5,5.3,5
156.5,5.7,5
146.5,5.7,5
132.5,5,5
146,5.3,5
238.5,7.8,5
227,6.2,5
116.5,5.3,5
180,6.3,5
202.5,6.5,5
160.5,5.7,5
170.5,6.46,5
230,7.5,5
198.5,6.3,5
216.5,6.8,5
218.5,6.5,5
168,5.9,5
162,6,5
231,7.1,5
208.5,6.7,5
234,7.1,5
214,7,5
202,6.9,5
210.5,6.8,5
212.5,5.9,5
229.5,7,5
205,7.4,5
192.5,6.6,5
190,6.8,5
167,6.9,5
298,7.3,5
205.5,6.4,5
241.5,7.4,5
182.5,6.2,5
214,6.5,5
179,6.7,5
188,6.8,5
199.5,6.1,5
188.5,6.7,5
109.5,6.3,5
159,6.4,5
226,7.1,5
201.5,7,5
178.5,6.7,5
113,4.9,5
207.5,5.8,5
250,7.8,5
216,13.3,5
201,11.8,5
175,12,5
234.5,14.1,5
152,12.2,5
195,13.3,5
215.5,13,5
169.5,12.9,5
267,14.4,5
222.5,13.2,5
205.5,13.2,5
282.5,14.4,5
226.5,14.4,5
211,13.7,5
161,14,5
141,13.2,5
149,13.8,5
213.5,15.2,5
154,12.5,5
172,13.4,5
148,13,5
199,13,5
242,13.6,5
172,12.2,5
163.5,13.1,5
243,14.1,5
132,11.9,5
229,14.3,5
214,13.9,5
176.5,12,5
263,16,5
184.5,13.6,5
127.5,11.2,5
209,13.6,5
147,13.6,5
232,12.4,5
164.5,12.1,5
185.5,13.2,5
202.5,13.6,5
184,13.9,5
163.5,12.6,5
164.5,12.6,5
170,14.6,5
203,12.7,5
189,14.4,5
131,12.3,5
176.5,13.8,5
216,15.2,5
156,12.3,5
147.5,10.9,5
234.5,14.4,5
175.5,13.1,5
155,13.5,5
205,14.9,5
136.5,12,5
151.5,12.4,5
169,12.6,5
234,14.6,5
227.5,12.6,5
143,14,5
233.5,13,5
251.5,13.2,5
193.5,14,5
237.5,12.8,5
273,13.5,5
236.5,14.5,5
184,13.2,5
115.5,12.7,5
144.5,12.8,5
199.5,13.3,5
200,14.5,5
233,13.4,5
171,14,5
226.5,15.2,5
192,12.9,5
161.5,12.7,5
224.5,13.8,5
169,12.9,5
251,15.1,5
131,11.2,5
182,14.1,5
169.5,13.3,5
164.5,15.2,5
199.5,12.8,5
188.5,13.3,5
145,12.7,5
239.5,15.8,5
221,15,5
236.5,15.8,5
156.5,12.6,5
184,14.3,5
192,12,5
244,13.7,5
222,13.7,5
187.5,14.3,5
215,12.8,5
183.5,12.9,5
200.5,13.4,5
129.5,13.7,5
238.5,13,5
208,13.6,5
173.5,13.2,5
177,12.6,5
212.5,12.9,5
200.5,13.9,5
215.5,13.4,5
115,12.5,5
165.5,12.4,5
179.5,12.9,5
210.5,15,5
160.5,14.5,5
204,14.3,5
82.5,8.8,5
197.5,14,5
190,13,5
261,14.4,5
249.5,14.7,5
129.5,13,5
211.5,13.8,5
206,14.9,5
168.5,13.1,5
142,13.9,5
192.5,15,5
284,24.3,2
291,23.4,2
282,22.1,2
288,24.1,2
293,23.1,2
298.5,24.8,2
282.5,23.3,2
282.5,23.9,2
283,23.4,2
275.5,23.9,2
278.5,24.4,2
337,2.6,4
