Quantity,Value
12.54,781.34
8.36,520.89
60.64,3776.46
46,2864.9
41.82,2604.45
39.12,2230.67
174.68,9959.93
215.17,12268.67
62.59,3569.07
54.77,3122.93
27.39,1513.64
78.24,4324.68
43.03,2378.57
7.82,432.47
14.07,1558.98
18.9,2093.67
16.34,1810.22
10.41,1153.13
34.01,3768.61
47.21,5230.96
43.37,4805.78
20,2216.07
41.91,1367.86
42.16,1378.98
23.86,1023.12
23.61,1012
37.5,1142.7
20.49,851.64
19.71,819.29
107.32,10718.04
113.87,11310.51
70.19,7355.59
78.6,8117.33
124.32,12256.93
128.91,12672.42
86.5,8832.91
89.31,9086.83
31.13,1118.09
20.75,745.4
20.88,750.05
65.49,2245.33
114.44,3923.72
111.33,3817.06
32.74,1122.67
20.07,1298.74
40.13,2597.48
92.3,5974.2
71.43,4623.51
56.18,3636.47
172.69,10233.59
157.67,9343.71
41.3,2447.16
112.62,6674.08
112.53,6668.52
75.08,4449.39
97.61,5784.2
101.36,6006.67
71.33,4226.92
67.57,4004.45
42.17,2677.4
66.77,4239.22
17.57,1115.59
49.2,3123.63
453.65,26688.91
506.55,29801.28
385.94,22705.49
294.31,17314.59
333.76,19635.6
382.51,22503.66
296.48,17442.06
216.85,12757.56
25.91,1615.9
44.42,2770.11
51.83,3231.8
62.93,3924.33
420.95,15757.8
451.67,17198.78
344.64,12178.59
317.64,10911.93
364.46,13108.26
371.15,13422.02
288.78,9558.11
269.2,8640.07
9.75,466.85
10.22,1233.68
12.78,1542.1
7.67,925.26
70.23,4011.86
91.69,5237.71
54.62,3120.33
56.57,3231.78
76.37,4362.9
46.82,2674.57
7.8,431.65
3.9,215.82
9.85,651.89
11.82,782.27
7.88,521.51
16.59,1005
11.06,670
31.33,1898.33
33.18,2010
24.05,1457.25
22.12,1340
152.98,9170.64
181.43,10875.66
143.96,8629.9
76.49,4585.32
12.53,781.21
8.35,520.81
29.23,1822.83
31.32,1953.03
22.97,1432.22
35.16,2007.28
23.44,1338.19
44.93,2564.86
48.83,2787.89
33.21,1895.76
29.3,1672.73
9.77,540.5
11.72,648.6
7.81,432.4
15.2,654.35
11.33,487.78
12.02,517.52
23.77,1023.16
55.88,1974.94
65.84,2403.24
61.55,2218.83
53.4,1867.87
11.04,488.5
12.49,552.91
9.7,429.45
7.28,322.09
64.54,2403.49
70.69,2632.4
18.44,686.71
30.73,1144.52
55.32,2060.14
12.29,457.81
6.68,426.76
5.01,320.07
26.34,1416.02
25.39,1364.84
16.93,909.89
19.04,1023.63
16.61,892.83
10.79,580.06
7.93,426.51
9.63,517.5
606.15,15757.8
672.07,16198.78
446.24,12178.59
