	x1	x2	x3	x4	x5
GB 	134 	76 	43 	50 	49
SK	173	62	20	23	16
BG	67	76	48	36	23
IE	11	21	31	36	52
BE	25	32	57	60	58
ES	32	42	40	67	67
PL	20	35	31	41	41
FI	10	16	23	23	24
GR	54	28	29	30	23
HU	12	19	14	15	20
SI	9	10	14	20	23
NL	52	43	38	47	54
IT	21	36	33	30	36
RO	85	74	55	31	22
AT	3	8	12	12	25
FR	28	33	40	31	45
HR	9	17	23	19	34
SE	18	36	44	35	40
CZ	12	24	22	25	37
DK	16	32	35	39	38
DE	28	39	36	41	54
LT	3	15	22	25	24
PT	30	40	28	20	26
EE	8	10	12	13	17
LU	2	1	2	3	3
MT	29	10	16	8	9
LV	47	51	29	19	12
CY	7	19	20	26	9
