CITY	Precip	Humidity	JanTemp	JulyTemp	Over65	House	Educ	Sound	Density	NonWhite	WhiteCol	Poor	HC	NOX	SO2	Mortality
San Jose, CA	13	71	49	68	7	3.36	12.2	90.7	2702	3	51.9	9.7	105	32	3	790.73
Wichita, KS	28	54	32	81	7	3.27	12.1	81	3665	7.5	51.6	13.2	4	2	1	823.76
San Diego, CA	10	61	55	70	7.3	3.11	12.1	88.9	3033	5.9	51	14	144	66	20	839.71
Lancaster, PA	43	54	32	74	10.1	3.38	9.5	79.2	3214	2.9	43.7	12	11	7	32	844.05
Minneapolis, MN	25	58	12	73	9.2	3.28	12.1	83.1	2095	2	51.9	9.8	20	11	26	857.62
Dallas, TX	35	54	46	85	7.1	3.22	11.8	79.9	1441	14.8	51.2	16.1	1	1	1	860.1
Miami, FL	60	60	67	82	10	2.98	11.5	88.6	4657	13.5	47.3	22.4	3	1	1	861.44
Los Angeles, CA	11	47	53	68	9.2	2.99	12.1	90.6	4700	7.8	48.9	12.3	648	319	130	861.83
Grand Rapids, MI	31	61	24	72	9	3.37	10.9	82.8	3226	5.1	45.2	12.3	5	3	10	871.34
Denver, CO	15	38	30	73	8.2	3.15	12.2	84.2	4824	4.7	53.1	12.7	17	8	28	871.77
Rochester, NY	32	60	25	72	10.9	3.21	11.1	82.5	4355	5	46.4	10.8	7	4	18	874.28
Hartford, CT	43	56	27	72	9	3.25	11.5	87.1	2909	7.2	51.6	9.5	7	3	10	887.47
Fort Worth, TX	31	53	45	85	7.3	3.22	11.4	80.7	1844	11.5	48.1	18.5	1	1	1	891.71
Portland, OR	37	73	38	67	11.3	2.99	12	81.5	3387	3.6	50.3	13.5	56	21	44	893.99
Worcester, MA	45	56	24	70	11.8	3.25	11.1	79.8	3678	1	44.8	14	7	3	8	895.7
Seattle, WA	35	72	40	64	9.6	3.02	12.2	82.5	3626	5.7	54.3	10.1	20	7	20	899.26
Bridgeport, CT	45	56	30	73	9.3	3.29	10.6	86	2140	5.3	40.4	10.5	6	4	4	899.53
Springfield, MA	45	56	28	74	10.6	3.21	11.1	82.6	1883	3.4	41.9	12.3	5	4	20	904.16
San Francisco, CA	18	71	48	63	9.2	2.92	12.2	87.7	4253	13.7	51.2	12	311	171	86	911.7
York, PA	42	54	33	76	9.7	3.22	9	76.2	9699	4.8	42.2	14.5	8	8	49	911.82
Utica, NY	40	60	23	71	11.3	3.28	10.3	73.8	1671	2.5	47.4	13.5	5	2	11	912.2
Canton, OH	36	59	27	72	9.5	3.36	10.7	79.3	4213	6.7	41	13.2	12	7	20	912.35
Kansas City, MO	35	55	31	81	9.2	3.1	12	78.3	3262	12.6	48.6	13.9	7	4	4	919.73
Akron, OH	36	59	27	71	8.1	3.34	11.4	81.5	3243	8.8	42.6	11.7	21	15	59	921.87
New Haven, CT	46	58	30	72	10.2	3.16	11.3	83.2	3327	8.8	45.3	12.2	4	3	8	923.23
Milwaukee, WI	30	64	20	69	8.8	3.26	11.1	85.4	2934	5.8	44	9.4	33	23	125	929.15
Boston, MA	43	56	30	74	10.9	3.23	12.1	83.9	4679	3.5	49.2	11.3	21	32	62	934.7
Dayton, OH	36	58	30	75	7.5	3.35	11.4	81.9	4029	12.4	44	12	6	4	16	936.23
Providence, RI	42	56	29	72	10.7	3.19	10.1	79.5	3508	2.2	38.8	15.7	6	4	18	938.5
Flint, MI	30	61	24	72	6.5	3.53	10.8	79.5	3694	13.1	33.8	12.4	11	4	11	941.18
Reading, PA	41	54	33	77	11.2	3.08	9.6	79.9	4843	2.7	38.6	14.1	11	11	89	946.18
Syracuse, NY	38	61	24	72	9.8	3.34	11.4	78	4923	3.8	50.5	11.1	8	5	25	950.67
Houston, TX	46	59	55	84	5.6	3.35	11.4	79.7	2647	21	46.9	17.9	6	5	1	952.53
Saint Louis, MO	34	57	32	79	9.3	3.23	9.7	76.8	5160	17.2	45.1	15.3	31	15	68	953.56
Youngstown, OH	38	58	28	72	8.9	3.48	10.7	79.8	3451	11.7	37.5	13	14	13	39	954.44
Columbus, OH	37	58	31	75	8	3.26	11.9	78.4	4259	13.1	49.6	13.9	23	9	15	958.84
Detroit, MI	31	59	27	74	7.2	3.44	10.8	87	4834	15.8	43.5	13.6	52	35	124	959.22
Nashville, TN	45	56	40	80	8.3	3.32	10.1	70.3	2682	21	46.1	24.1	17	14	78	961.01
Allentown, PA	44	54	29	74	10.4	3.21	9.8	81.6	4260	0.8	39.4	12.4	6	6	33	962.35
