Quantity,Value
4621.5,27707.25
1.1,6789.26
5175.9,26134.7
3657.12,55797.68
901.44,9877.76
2980,20253.2
33.71,3829.72
0.96000002,98.83
359,6216.93
0.080000012,166.41
0.47000001,157.09
7.12,402.59
5219,34157.39
1,332.2
1048.32,12003.6
879,13792.64
0.90000001,10655.3
209,17683.21
24.7,684.49
3.04,3773.81
22.8,1260.19
2602,16665.6
10.81,450.56
879,11835.2
3.3,275.54
9.8,383.62
336.48,5781.8
186,9183.35
290,4608.42
2766,12894.45
300,3345.92
0.40000001,60.62
0.50000002,169.47
1179,15101.12
81.12,13983.47
2,240.36
2004.15,26823.3
0.25,199.75
0.64000002,863.67
10.88,4518.86
0.54,275.99
29.45,233.99
5.99,6931.89
161.61,10812.13
0.26,154.36
6714,41438.61
300,3345.92
0.22,125.38
80,4024.75
528.29,29656.55
2603.7,13232.34
289,5303.36
232,4213.37
11.2,4349.51
3.09,716.02
17.99,1542.54
21.95,901.44
3328.2,17548.13
126.66,14548.99
970,10774.19
17.1,926.6
0.010000004,1.87
6.5,495.56
48.5,2798.38
1,117.68
7.9,472.03
1869,13606
3.4,352.4
408,51752.48
589,8569.28
10.2,2104.27
147,2279.36
1.8,921.59
1481,9709.47
289,5303.36
1846.53,35099.35
208,3428.58
62.1,3822.64
7.6,479.49
0.20000001,32.63
891,5818.74
0.15,58.37
196.61,1941.38
62.22,7975.68
289,5303.36
16.62,655.72
1.1,374.6
0.060000005,34.15
0.16,73.98
1632.51,27303.9
1661.4,12083.72
1343,17002.84
0.7,24.63
829.62,9217.05
114,2115.42
0.72,238.29
17.92,145.23
590,6611.84
0.93,163.32
4572,21101.31
128.14,16817.48
42.6,1465.52
121,1891.42
0.77,47.41
7.6,559.76
0.41000002,257.98
3687,17155.89
276,7428.83
590,6611.84
302,4665.8
443,7135.7
5371,29173.95
1179,15101.12
150.25,20788.85
2301.74,38785.02
2.98,350.58
200,3096.11
18.6,722.94
125.2,1575.8
0.10000001,97.09
28.16,1859.58
0.29,95.98
68.15,8872.08
3314.7,17822.99
0.66,168.12
420,6784.25
2,1207.78
336.48,5781.8
759.6,9683.86
1023.75,11844.16
409.44,4030.2
879,11835.2
2432.7,17355.62
220,4030.14
15.68,1146.19
24.22,684.49
879,11835.2
17.57,1081.49
12.82,817.99
0.51000001,126.43
1215.9,8772.26
0.090000013,446.84
155.68,5444.11
3.14,546.31
0.58000001,107.67
0.050000002,18.78
1.4,159.17
436.22,11556.99
659.3,5681.73
6.37,820.26
78.85,595.99
1191,13143.68
968,5476.62
7,634.26
10.2,1071.61
382,6554.15
0.72000001,1401.66
3166.2,19041.29
21.75,4213.96
300,3345.92
2326.45,41872.2
0.35,40.43
172,2606.09
6.8,925.01
2.3,135.6
1.1,11.22
0.11,9.96
37.7,2256.74
0.13,173.75
1.11,373.03
395,6456.98
67.15,575.23
4.5,5601.78
3249.9,21156.95
960,12669
3139,14577.6
1179,15101.12
0.010000002,9.47
42,1822.03
696,3177.44
5.69,265.15
300,3345.92
0.020000009,5.97
5.27,255.86
64.6,775.99
3535,17739.94
879,11835.2
72,2854.96
26.35,2683.79
149.1,18103.84
7602,44495.29
579,6611.84
78.72,3731.99
629,9428.57
3.9,266.87
398,4171.43
37.2,3098.56
868,9877.76
5322,28537.05
0.15,24.16
0.2,42.06
2937.6,15876.66
5.84,956.99
259.68,1290
186,9298.47
333,5564.75
2.47,467.56
4.75,493.64
2309.4,15867.95
90.39,11759.25
0.50000001,143.45
1.5,98.93
2,459.88
2.6,308.56
590,6611.84
2316.3,25476.73
1255.34,29126.1
29.8,311.07
2260.8,16813.24
0.72,512.37
0.7,514.77
1302.15,12630.24
1850.4,13150.28
257.4,22886.08
0.25,15.83
13.74,2422.06
82.27,11814.72
3956,20216.92
590,7131.67
8,1756.62
0.7,1051.97
447.3,11875.47
279.7,4701.84
7.12,537.59
0.47,82.59
1849,8614.93
2.4,267.26
590,9877.76
1252.13,13762.62
2.81,221.71
5.4,4519.96
269,4009.47
0.70000001,265.79
2,931.49
3397,21267.49
586.81,21460.13
734,8062.45
1.5,16812.2
0.90000001,75.01
5.2,558.38
0.29000001,429.79
550.4,10652.78
125.11,15221.89
2251,13905.55
651.4,7305.51
5.22,743.4
6.8,556
108,3691.59
0.050000009,54.11
4.5,266.74
4143,18811.87
98.22,16077.33
0.45,20.32
0.10000002,14.36
1928.22,29494.62
1.12,646.58
0.40000002,807.66
0.57,256.35
7,1057.73
578,10526.72
1683.9,12997.88
890,9877.76
64,7901.33
0.80000002,213.85
0.66000001,176.18
18,1488.14
759.6,9625
2509.02,20133.6
5.88,297.34
1.5,213.08
0.66000001,129.3
3505.5,19902.61
1.5,184.28
5.22,593.99
3.5,345.96
3.32,256.42
0.46000001,61.73
126.35,4625.11
0.18,749.74
1.3,927.84
816,12502.15
6.65,140
4151.7,20505.34
23.75,1436.19
890,11835.2
210.35,4374.94
6.11,1349
56.6,3723.5
0.11,61.92
365.04,4094.2
409.44,4030.2
1869,13521
148.61,3872.2
80,4005
1872.9,9474.25
3.8,99.42
1.5,836.68
589,8569.28
0.08000001,7.86
2.2,331.19
0.56,47.24
729,5712.36
601,6611.84
0.24,16.36
590,6611.84
31.5,703.58
0.20000002,660.4
1.73,496.31
6.65,638.49
2.47,483.21
7199,35338.39
289,5303.36
0.32000001,381.94
0.81000001,408.69
0.010000001,9.51
257,3880.71
0.16,239.94
2.19,413.7
0.15000001,28.31
2873,17703.27
11.43,492.55
1,46.73
590,6611.84
195,13132.17
221,3979.23
0.45000001,35.75
