Row,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
GB,134,76,43,50,49,49,50,32,23,26,26,9,9,8,4,3,4,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
SK,173,62,20,23,16,13,10,12,12,3,10,7,1,1,2,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BG,67,76,48,36,23,24,14,10,9,8,4,3,7,10,7,2,2,2,5,3,3,2,3,1,1,1,0,1,1,0,1,0,0
IE,11,21,31,36,52,34,46,35,35,27,24,14,15,9,6,5,5,5,6,1,1,1,0,2,2,0,0,1,0,0,0,0,0
BE,25,32,57,60,58,42,50,36,27,33,21,23,12,18,7,4,4,3,2,2,0,5,2,2,0,0,0,0,0,0,0,0,0
ES,32,42,40,67,67,55,45,55,23,32,25,15,16,13,10,4,9,7,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0
PL,20,35,31,41,41,39,47,33,34,18,26,18,22,15,14,15,8,7,9,1,3,4,2,1,4,0,0,0,1,1,1,0,0
FI,10,16,23,23,24,39,31,38,33,26,30,32,33,20,13,17,10,8,17,9,12,7,6,9,2,5,4,2,0,0,2,1,0
GR,54,28,29,30,23,26,28,16,12,11,9,11,7,11,3,3,5,5,4,4,3,0,2,3,2,0,1,0,0,0,0,0,0
HU,12,19,14,15,20,24,18,17,27,27,19,13,17,18,19,11,11,10,7,5,11,7,6,6,1,1,3,1,0,1,0,0,0
SI,9,10,14,20,23,17,21,16,25,18,11,13,15,20,14,10,5,10,12,6,4,5,4,0,3,2,0,0,0,0,0,0,0
NL,52,43,38,47,54,49,56,48,41,32,19,23,19,14,6,12,9,5,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0
IT,21,36,33,30,36,46,58,35,41,34,25,27,22,27,14,11,15,13,13,3,8,10,2,6,4,4,1,0,1,2,0,0,0
RO,85,74,55,31,22,23,12,15,16,13,8,10,8,5,3,2,1,7,2,0,3,0,0,0,1,1,1,0,1,0,0,0,0
AT,3,8,12,12,25,30,26,25,35,31,27,34,23,15,30,17,22,15,7,15,9,9,11,6,2,4,2,2,0,2,1,0,0
FR,28,33,40,31,45,60,55,52,43,17,30,22,28,18,18,14,11,3,5,3,3,4,1,0,2,0,0,0,0,0,0,0,0
HR,9,17,23,19,34,28,39,30,22,14,25,21,17,13,12,6,10,9,3,5,4,2,3,2,3,1,1,1,0,1,2,1,0
SE,18,36,44,35,40,43,50,44,42,25,31,26,30,15,19,16,14,6,10,6,6,5,2,1,0,0,0,0,1,0,0,0,0
CZ,12,24,22,25,37,31,29,37,37,31,27,23,27,16,12,13,13,10,6,2,2,7,3,1,3,0,3,0,0,0,0,0,0
DK,16,32,35,39,38,45,56,41,47,26,30,23,29,18,20,13,8,9,5,7,2,3,3,1,0,0,1,0,0,0,0,0,0
DE,28,39,36,41,54,64,61,34,35,41,41,26,25,20,21,12,7,5,9,7,2,3,2,1,0,1,1,0,0,0,0,0,0
LT,3,15,22,25,24,26,19,20,17,26,7,12,16,11,12,3,4,11,9,1,4,0,4,2,0,1,2,0,0,0,1,0,1
PT,30,40,28,20,26,18,19,26,24,14,20,15,15,11,10,13,6,9,9,4,5,5,5,3,0,1,2,0,0,0,0,0,0
EE,8,10,12,13,17,20,30,17,27,23,25,19,19,10,13,6,11,8,5,8,6,3,10,3,2,2,2,0,0,0,0,0,1
LU,2,1,2,3,3,2,7,6,13,11,7,8,14,8,10,8,9,5,7,15,7,8,11,9,3,4,5,5,4,4,4,3,0
MT,29,10,16,8,9,7,5,8,6,4,3,4,6,2,5,2,6,4,4,3,1,0,2,2,2,0,3,0,0,1,1,0,0
LV,47,51,29,19,12,11,9,11,13,8,5,6,4,5,2,5,9,9,7,2,3,1,5,2,6,3,0,2,1,0,1,0,0
CY,7,19,20,26,9,15,13,9,15,9,3,8,5,7,1,6,6,5,5,6,6,3,5,2,2,3,2,2,3,1,1,1,0
