Thickness	Length	Width																		
7	4	3																		
4	1	8																		
6	3	5																		
8	6	1																		
8	5	7																		
7	2	9																		
5	3	3																		
9	5	8																		
7	4	5																		
8	2	2																		
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
