"countryname" "country" "low" "medium" "high" "mvapc" "countrycode" "countrygroup" "groupcode" "hdi_score" "life_exp" "exp_school" "mean_school"
"Afghanistan" "004" 0.495393104004722 0.419957239598778 0.0846496563965005 27 "AFG" "Least Developed Countries" "LDC" 0.511 64.83 10.17643 3.93
"Albania" "008" 0.691264048717145 0.266287556530694 0.0424372005552322 295 "ALB" "Other Developing Economies" "DEVOT" 0.795 78.57 14.69562 10.14573
"Angola" "024" 0.287279030921203 0.676200898404235 0.0365200706764076 241 "AGO" "Least Developed Countries" "LDC" 0.581 61.15 11.777202 5.173993233
"Argentina" "032" 0.464731366274817 0.265036033429702 0.263078139725617 1761 "ARG" "Emerging Industrial Economies" "EIE" 0.845 76.67 17.6542 10.94060102
"Armenia" "051" 0.721518265607135 0.200394079848517 0.078087654544348 493 "ARM" "Other Developing Economies" "DEVOT" 0.776 75.09 13.06861 11.30174
"Australia" "036" 0.393978807585611 0.321142389376506 0.284878803037883 2988 "AUS" "Industrialized Economies" "IND" 0.944 83.44 21.95433 12.72469119
"Austria" "040" 0.262543654339446 0.286022750788866 0.451435199073413 8171 "AUT" "Industrialized Economies" "IND" 0.922 81.54 16.09207 12.5461436
"Azerbaijan" "031" 0.335512417518553 0.512041356355945 0.15244622661357 306 "AZE" "Other Developing Economies" "DEVOT" 0.756 73.01 12.89364 10.57543
"Belarus" "112" 0.394005589737854 0.193946726924736 0.41204768333741 1398 "BLR" "Industrialized Economies" "IND" 0.823 74.79 15.40479 12.30584324
"Belgium" "056" 0.251919936634611 0.232445787477147 0.515638999948035 5161 "BEL" "Industrialized Economies" "IND" 0.931 81.63 19.77438 12.05027
"Bolivia (Plurinational State of)" "068" 0.6123601843212 0.268220041133019 0.119419774583533 349 "BOL" "Other Developing Economies" "DEVOT" 0.718 71.51 14.2 9.017540839
"Bosnia and Herzegovina" "070" 0.494960956022029 0.326079266697642 0.178959777280329 665 "BIH" "Emerging Industrial Economies" "EIE" 0.78 77.4 13.8 9.81787
"Botswana" "072" 0.583905306499933 0.148599257968909 0.267495435622396 399 "BWA" "Other Developing Economies" "DEVOT" 0.735 69.59 12.8495 9.56
"Brazil" "076" 0.335008422285466 0.319487537103025 0.345504040611509 891 "BRA" "Emerging Industrial Economies" "EIE" 0.765 75.88 15.41401 7.9813
